model_name,country,native_language,en_distance,native_distance,english_advantage
deepseek-chat-v3.1,Egypt,ar,1.1936455240998103,1.3545667288912981,11.879902359863848
doubao-1-5-pro-32k-250115,Egypt,ar,1.3545667288912981,1.5921414088685812,14.921707246224447
gemini-2.5-flash,Egypt,ar,1.3545667288912981,1.3545667288912981,0.0
gemini-2.5-pro,Egypt,ar,1.0464124646035284,1.0464124646035284,0.0
gemini-3-pro-preview,Egypt,ar,1.1936455240998103,1.1936455240998103,0.0
gemma-3-4b-it,Egypt,ar,2.016016544115011,3.7322276453392695,45.98355899773232
gpt-4o,Egypt,ar,1.0880633471647185,1.4175662596139664,23.24426884560434
gpt-4o-mini,Egypt,ar,1.16056046139125,1.109381378076994,-4.613299296854056
gpt-5.1,Egypt,ar,1.1936455240998103,1.1936455240998103,0.0
grok-4.1-fast,Egypt,ar,1.2747218488334584,1.8050015596606201,29.378351945959867
kimi-k2,Egypt,ar,1.1466803906117742,1.035405232733499,-10.747015213020083
llama-3.2-3b-instruct,Egypt,ar,5.596588474332821,5.31932474590447,-5.212385813478033
llama-3.3-70b-instruct,Egypt,ar,1.1936455240998103,1.1936455240998103,0.0
mistral-medium-3.1,Egypt,ar,1.1936455240998103,1.1936455240998103,0.0
mistral-nemo,Egypt,ar,2.161001933543608,4.00391289417069,46.027748588391674
phi-3-mini-128k-instruct,Egypt,ar,3.5534370365603234,4.613395890218685,22.975675161667457
qwen3-max,Egypt,ar,1.0131229491731746,1.0131229491731746,0.0
claude-3-7-sonnet-20250219,France,fr,2.501254503322655,1.3092212444782525,-91.04903116046276
claude-sonnet-4.5,France,fr,2.130329972939916,2.2033527086075124,3.3141646084319327
deepseek-chat,France,fr,2.4293020988107394,2.2919658475217304,-5.9920723267979215
deepseek-chat-v3.1,France,fr,2.6122583999762012,1.5175484184526977,-72.13674161643402
doubao-1-5-pro-32k-250115,France,fr,2.311142109196404,1.6064257023974138,-43.86859633453814
gemini-2.5-flash,France,fr,3.4583929356665943,1.4833043503753045,-133.15464117607115
gemini-2.5-pro,France,fr,3.237901263929573,2.826286200463036,-14.56381393360308
gemini-3-pro-preview,France,fr,3.4583929356665943,1.7438716073090998,-98.31694725525725
gemma-3-4b-it,France,fr,2.2706453573625947,2.628958907259458,13.629484618699697
gpt-4o,France,fr,2.476027095276989,3.584613255140441,30.926241715858925
gpt-4o-mini,France,fr,3.9415998091088755,3.8602152536277594,-2.108290603862891
gpt-5.1,France,fr,3.237901263929573,3.237901263929573,0.0
grok-4.1-fast,France,fr,2.8801124937651212,3.0657112055881397,6.054018117711527
kimi-k2,France,fr,3.1882906863491387,3.218239671115112,0.9306014413648703
llama-3.2-3b-instruct,France,fr,1.5958494283058797,0.7264076956688881,-119.69060044668105
llama-3.3-70b-instruct,France,fr,1.8574805526322058,1.922567883558046,3.3854373352677025
mistral-medium-3.1,France,fr,2.8241810468051978,3.810040851862355,25.875307992439694
mistral-nemo,France,fr,3.236152238882374,2.477983881957892,-30.596177902716693
phi-3-mini-128k-instruct,France,fr,0.908709854200098,0.6554696377466952,-38.63492706145252
qwen3-max,France,fr,2.4862032484812104,2.64708497452695,6.0776940519066605
claude-3-7-sonnet-20250219,Germany,de,3.5537872504370607,2.20180550818782,-61.4033227377099
claude-sonnet-4.5,Germany,de,3.086043315444899,2.65183529768622,-16.37386824655116
deepseek-chat,Germany,de,2.4386223798153135,1.5889947394256296,-53.46950617953568
deepseek-chat-v3.1,Germany,de,2.3371645636575793,1.977348472192639,-18.196898347712477
doubao-1-5-pro-32k-250115,Germany,de,2.0741982643393477,0.9753484147954024,-112.66228897029067
gemini-2.5-flash,Germany,de,1.2976918842667329,0.027727494759971612,-4580.162760828023
gemini-2.5-pro,Germany,de,2.2687674161391125,0.8731548906317506,-159.835619141708
gemini-3-pro-preview,Germany,de,2.397166112602755,2.4094280485094806,0.5089147988590489
gemma-3-4b-it,Germany,de,1.6554744583373868,1.9022053654129423,12.970781786329027
gpt-4o,Germany,de,1.6410513464534873,0.1365766884580391,-1101.5603577602285
gpt-4o-mini,Germany,de,2.700573678711607,1.3387493696900195,-101.72361906223797
gpt-5.1,Germany,de,2.58953952030464,3.3037915004085394,21.619160289490924
grok-4.1-fast,Germany,de,3.486213126667764,2.081434440496607,-67.4908927631654
kimi-k2,Germany,de,4.06951075882666,2.1331653971813447,-90.77333451048395
llama-3.2-3b-instruct,Germany,de,1.6590101402281798,1.0056175891769914,-64.97425642544023
llama-3.3-70b-instruct,Germany,de,2.557530311620565,3.2913436030811223,22.295250206438887
mistral-medium-3.1,Germany,de,1.1771910377159283,2.365082446596567,50.22621560572039
mistral-nemo,Germany,de,2.0521352370613353,2.546111164613518,19.401192470210347
phi-3-mini-128k-instruct,Germany,de,1.3226191857419973,1.3226191857419973,0.0
qwen3-max,Germany,de,2.266011693335567,2.8384315544175496,20.166766402772886
claude-3-7-sonnet-20250219,Guatemala,es,2.0600789878325823,2.2053828115312992,6.5885987203203875
claude-sonnet-4.5,Guatemala,es,1.914835610415912,1.8317253790400674,-4.537264828388162
deepseek-chat,Guatemala,es,1.5401369199905568,1.797318616411169,14.309187813018081
deepseek-chat-v3.1,Guatemala,es,1.2811217633060719,0.25153747205070315,-409.3164659966975
doubao-1-5-pro-32k-250115,Guatemala,es,2.310303392579684,2.3153816498526325,0.21932700698701801
gemini-2.5-flash,Guatemala,es,2.32093569130715,2.0613682361411216,-12.591998392870282
gemini-2.5-pro,Guatemala,es,2.2999771285631687,2.394914339821965,3.964117199525976
gemini-3-pro-preview,Guatemala,es,2.254446519220161,1.994061653694669,-13.05801478319597
