model,stage,country,language,native_PC1,native_PC2,roleplay_PC1,roleplay_PC2,distance_to_native,is_english
mistral-nemo,Stage3,Guatemala,es,6.0520725982,-0.4710848812,0.769637571646475,-0.0307517318938481,5.300755898184467,False
mistral-nemo,Stage3,Haiti,en,6.0520725982,-0.4710848812,-0.8294416176078806,2.325610629580717,7.428104985956173,True
mistral-nemo,Stage3,Haiti,fr,6.0520725982,-0.4710848812,0.0067252847321985,0.8337312290725886,6.18455893512862,False
mistral-nemo,Stage3,Hong Kong,en-native,6.0520725982,-0.4710848812,0.468296362547263,3.7254609701615182,6.9849519778177305,True
mistral-nemo,Stage3,Hong Kong,zh-cn,6.0520725982,-0.4710848812,2.50146148349608,2.34330525028936,4.530742886115224,False
mistral-nemo,Stage3,Hong Kong,zh-hk,6.0520725982,-0.4710848812,0.6047917913944911,3.585870254894856,6.792036010245978,False
mistral-nemo,Stage3,Iraq,ar,6.0520725982,-0.4710848812,-0.1168958536825076,1.9487004743528484,6.626577768899244,False
mistral-nemo,Stage3,Iraq,en,6.0520725982,-0.4710848812,-1.484918713190961,3.404488310127054,8.475040152666876,True
mistral-nemo,Stage3,Ireland,en-native,6.0520725982,-0.4710848812,5.382327913837931,1.7721266911972973,2.341058756368238,True
mistral-nemo,Stage3,Italy,en,6.0520725982,-0.4710848812,3.7606445306569176,2.192276817498953,3.513422565934931,True
mistral-nemo,Stage3,Italy,it,6.0520725982,-0.4710848812,3.521782856883256,2.090404367484175,3.600499041263221,False
mistral-nemo,Stage3,Japan,en,6.0520725982,-0.4710848812,3.0680823009172453,1.1396554040014224,3.3909707106739186,True
mistral-nemo,Stage3,Japan,ja,6.0520725982,-0.4710848812,2.6409164139753245,2.3562197586619136,4.430534735193818,False
mistral-nemo,Stage3,Kazakhstan,en,6.0520725982,-0.4710848812,1.696120411333239,1.0970890963004565,4.6296316352361035,True
mistral-nemo,Stage3,Kazakhstan,ru,6.0520725982,-0.4710848812,-0.9908127478450908,0.7048570896705657,7.1403832891793435,False
mistral-nemo,Stage3,Jordan,ar,6.0520725982,-0.4710848812,2.417332917680428,0.8855653691807591,3.879669115659439,False
mistral-nemo,Stage3,Jordan,en,6.0520725982,-0.4710848812,-0.6595530328830396,1.037553789145421,6.879092182074056,True
