model_name,country,native_language,en_distance,native_distance,english_advantage,internet_collectivity_index,colonial_power,has_colonial_history,gdp_per_capita,HDI,freedom_on_net
gpt-4o,Belgium,fr,1.9519194463540024,2.2550783612773895,13.443387162460407,59.53,,0,50605.7496677086,0.951,
gpt-4o-mini,Belgium,fr,3.8873869842316178,2.7138617556781837,-43.24189417895292,59.53,,0,50605.7496677086,0.951,
gpt-5.1,Belgium,fr,4.406964528768203,3.150609138489387,-39.87658687745687,59.53,,0,50605.7496677086,0.951,
grok-4.1-fast,Belgium,fr,3.203566543534215,3.230423395532319,0.8313725078652889,59.53,,0,50605.7496677086,0.951,
kimi-k2,Belgium,fr,4.543864101878258,2.877893730793609,-57.88852983898196,59.53,,0,50605.7496677086,0.951,
llama-3.2-3b-instruct,Belgium,fr,0.8253027239023237,1.0320118189635796,20.029721681758257,59.53,,0,50605.7496677086,0.951,
llama-3.3-70b-instruct,Belgium,fr,3.809446730405773,3.332312195639916,-14.31842236721255,59.53,,0,50605.7496677086,0.951,
mistral-medium-3.1,Belgium,fr,2.306870183589921,2.6634052017861634,13.38643545327383,59.53,,0,50605.7496677086,0.951,
mistral-nemo,Belgium,fr,3.1672121506872877,3.731484033063611,15.121916035991894,59.53,,0,50605.7496677086,0.951,
phi-3-mini-128k-instruct,Belgium,fr,1.2558936236455518,0.9962195764244324,-26.06594503524261,59.53,,0,50605.7496677086,0.951,
qwen3-max,Belgium,fr,1.5609936896050145,2.6702420927967703,41.54111742092817,59.53,,0,50605.7496677086,0.951,
claude-3-7-sonnet-20250219,Bolivia,es,1.5397491215701182,1.5397491215701182,0.0,40.84,ES,1,4219.46113742445,0.733,
claude-sonnet-4.5,Bolivia,es,1.3107739020408404,1.5064906829915248,12.991569291489965,40.84,ES,1,4219.46113742445,0.733,
deepseek-chat,Bolivia,es,0.4420415195967803,0.2029462455286394,-117.81211987703426,40.84,ES,1,4219.46113742445,0.733,
deepseek-chat-v3.1,Bolivia,es,0.4558455663212605,0.4533216636023595,-0.5567575788998617,40.84,ES,1,4219.46113742445,0.733,
doubao-1-5-pro-32k-250115,Bolivia,es,1.1116888142605694,0.6744041096718278,-64.84016012321291,40.84,ES,1,4219.46113742445,0.733,
gemini-2.5-flash,Bolivia,es,0.085457284362837,0.8564975142230892,90.02247140899719,40.84,ES,1,4219.46113742445,0.733,
gemini-2.5-pro,Bolivia,es,0.5222316090179249,1.176262632151787,55.60246540667671,40.84,ES,1,4219.46113742445,0.733,
gemini-3-pro-preview,Bolivia,es,0.8564975142230892,0.8564975142230892,0.0,40.84,ES,1,4219.46113742445,0.733,
gemma-3-4b-it,Bolivia,es,2.5174371121946724,2.428506040088826,-3.6619662721775024,40.84,ES,1,4219.46113742445,0.733,
gpt-4o,Bolivia,es,0.507605998139414,1.2184785349936087,58.34099792803683,40.84,ES,1,4219.46113742445,0.733,
gpt-4o-mini,Bolivia,es,2.8593127838846124,3.112046367510056,8.121138112336528,40.84,ES,1,4219.46113742445,0.733,
gpt-5.1,Bolivia,es,0.4019773978365584,0.1652672374740097,-143.22872698817525,40.84,ES,1,4219.46113742445,0.733,
grok-4.1-fast,Bolivia,es,3.3038327393615505,1.879148666392553,-75.81539973119838,40.84,ES,1,4219.46113742445,0.733,
kimi-k2,Bolivia,es,0.529482712885294,2.0045862758004884,73.58643430431266,40.84,ES,1,4219.46113742445,0.733,
llama-3.2-3b-instruct,Bolivia,es,3.07225770386022,5.681781915448883,45.927919276403635,40.84,ES,1,4219.46113742445,0.733,
llama-3.3-70b-instruct,Bolivia,es,0.4609881997282259,1.4689768566106447,68.61841644041559,40.84,ES,1,4219.46113742445,0.733,
