model_name,model_region,roleplay_country,real_country,country_code,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
anthropic/claude-3.7-sonnet,,Ecuador,Ecuador,Ecuador,,2.1933472668914495,-1.3427862443387877,-0.21497292921454908,-0.1948804113495415,-2.083952445359511
deepseek/deepseek-chat-v3-0324,,Ecuador,Ecuador,Ecuador,,1.2313760659601136,-0.1051360391227874,-0.8558510800508359,-0.1948804113495415,-2.083952445359511
mistralai/mistral-nemo,,Ecuador,Ecuador,Ecuador,,4.0122214464049515,3.8109243306088305,-1.8571280544848532,-0.1948804113495415,-2.083952445359511
openai/gpt-4o-mini,,Ecuador,Ecuador,Ecuador,,4.376964345212123,3.195181606370165,0.684674722619662,-0.1948804113495415,-2.083952445359511
anthropic/claude-3.7-sonnet,,Egypt,Egypt,Egypt,,1.0450450427936966,-1.8428587542960235,-1.9037914139125114,-2.1158537861615927,-0.8950333388298899
google/gemini-2.0-flash-001,,Egypt,Egypt,Egypt,,1.574475259247491,-2.821134959144526,-2.3027090149066884,-2.1158537861615927,-0.8950333388298899
openai/gpt-4o-mini,,Egypt,Egypt,Egypt,,1.1210092070120063,-1.5151309622766354,-1.8414971421891995,-2.1158537861615927,-0.8950333388298899
anthropic/claude-3.7-sonnet,,France,France,France,,2.501662086773113,3.8744037690095396,3.40906974888531,2.675333063909223,1.2134963293503962
deepseek/deepseek-chat-v3-0324,,France,France,France,,2.1653992188154807,4.531089932621794,2.3293458806218963,2.675333063909223,1.2134963293503962
google/gemini-2.0-flash-001,,France,France,France,,2.286280471460547,2.17878950589713,3.445204842839233,2.675333063909223,1.2134963293503962
meta-llama/llama-3.3-70b-instruct,,France,France,France,,1.86088231118237,4.133777769377038,2.369273997054846,2.675333063909223,1.2134963293503962
mistralai/mistral-nemo,,France,France,France,,2.1385797803634916,4.6484045844323445,2.0384279943264336,2.675333063909223,1.2134963293503962
openai/gpt-4o-mini,,France,France,France,,3.9481134465164454,6.381385372851167,2.57466350128412,2.675333063909223,1.2134963293503962
anthropic/claude-3.7-sonnet,,Germany,Germany,Germany,,3.350183912339627,5.265631624641835,3.421484084154733,2.3151695165435515,1.8345040605956835
deepseek/deepseek-chat-v3-0324,,Germany,Germany,Germany,,3.557240234274984,5.387528081648504,3.6274265161890598,2.3151695165435515,1.8345040605956835
google/gemini-2.0-flash-001,,Germany,Germany,Germany,,0.8048293079069643,1.9713909124812332,2.562217250152508,2.3151695165435515,1.8345040605956835
meta-llama/llama-3.3-70b-instruct,,Germany,Germany,Germany,,3.2946413780713133,5.097735379197542,3.5985871170565455,2.3151695165435515,1.8345040605956835
mistralai/mistral-nemo,,Germany,Germany,Germany,,2.661134166358155,4.9108484205915754,2.4210925692103347,2.3151695165435515,1.8345040605956835
openai/gpt-4o-mini,,Germany,Germany,Germany,,3.897910560327853,6.170620377196596,2.4082682956305046,2.3151695165435515,1.8345040605956835
anthropic/claude-3.7-sonnet,,Guatemala,Guatemala,Guatemala,,2.062264857777499,-1.581645497710273,-0.316814427318573,0.3294469078223742,-1.0918384018764502
