model_name,country,native_language,cultural_region,is_islamic,language_family,model_origin,d_english,d_native,d_diff,english_advantage_pct,ea_winsorized,log_ratio,internet_collectivity_index,colonial_power,gdp_per_capita,HDI,has_colonial_history,freedom_on_net
gpt-4o-mini,Bolivia,es,Latin America,False,Romance,US,2.8592934483245727,3.112051904564388,0.2527584562398153,8.121922898172079,8.121922898172079,-0.0847077367511502,40.84,ES,4219.46113742445,0.733,1,
gpt-5.1,Bolivia,es,Latin America,False,Romance,US,0.4019414531041476,0.165260334428134,-0.2366811186760135,-143.21713646231174,-143.21713646231174,0.888784424048829,40.84,ES,4219.46113742445,0.733,1,
grok-4.1-fast,Bolivia,es,Latin America,False,Romance,US,3.303809252895357,1.8791416616113592,-1.4246675912839974,-75.81480525860665,-75.81480525860665,0.5642610122050684,40.84,ES,4219.46113742445,0.733,1,
kimi-k2,Bolivia,es,Latin America,False,Romance,China,0.5294696805711235,2.004590814247899,1.4751211336767756,73.587144228745,73.587144228745,-1.3313193333304816,40.84,ES,4219.46113742445,0.733,1,
llama-3.2-3b-instruct,Bolivia,es,Latin America,False,Romance,US,3.0722829608014037,5.6818065661393495,2.609523605337946,45.927709346695586,45.927709346695586,-0.6148483189029538,40.84,ES,4219.46113742445,0.733,1,
llama-3.3-70b-instruct,Bolivia,es,Latin America,False,Romance,US,0.4610122153815783,1.4689177345209958,1.0079055191394175,68.61551844958075,68.61551844958075,-1.1588566333794357,40.84,ES,4219.46113742445,0.733,1,
mistral-medium-3.1,Bolivia,es,Latin America,False,Romance,Europe,0.2291846344224886,0.6051998382176195,0.3760152037951307,62.13075087768317,62.13075087768317,-0.9710307720418396,40.84,ES,4219.46113742445,0.733,1,
mistral-nemo,Bolivia,es,Latin America,False,Romance,Europe,2.400561247321068,2.1344825690156135,-0.2660786783054543,-12.465722708064334,-12.465722708064334,0.1174783021904287,40.84,ES,4219.46113742445,0.733,1,
phi-3-mini-128k-instruct,Bolivia,es,Latin America,False,Romance,US,3.25888526713849,4.032143256041341,0.7732579889028512,19.177344151755584,19.177344151755584,-0.212912865602697,40.84,ES,4219.46113742445,0.733,1,
qwen3-max,Bolivia,es,Latin America,False,Romance,China,0.424909010022706,0.7946438602939527,0.3697348502712467,46.52837185886962,46.52837185886962,-0.6260189878719856,40.84,ES,4219.46113742445,0.733,1,
claude-3-7-sonnet-20250219,Brazil,pt,Latin America,False,Romance,US,2.942982455031633,0.8729485702338905,-2.070033884797742,-237.13125324704012,-200.0,1.215302144048876,55.96,PT,9281.33282136864,0.786,1,65.0
claude-sonnet-4.5,Brazil,pt,Latin America,False,Romance,US,2.462343178903988,2.1939144974553626,-0.2684286814486252,-12.235147803616108,-12.235147803616108,0.1154260183265306,55.96,PT,9281.33282136864,0.786,1,65.0
